iteration,agent1_score,agent2_score
1,3,3
2,3,8
3,6,11
4,9,14
5,9,19
6,12,22
7,12,27
8,12,32
9,12,37
10,15,40
11,15,45
12,15,50
13,18,53
14,21,56
15,21,61
16,24,64
17,27,67
18,30,70
19,33,73
20,36,76
21,39,79
22,42,82
23,45,85
24,48,88
25,48,93
26,48,98
27,48,103
28,48,108
29,51,111
30,51,116
31,54,119
32,54,124
33,57,127
34,57,132
35,57,137
36,60,140
37,60,145
38,63,148
39,66,151
40,69,154
41,72,157
42,75,160
43,78,163
44,78,168
45,81,171
46,81,176
47,81,181
48,81,186
49,84,189
50,84,194
51,84,199
52,84,204
53,84,209
54,84,214
55,84,219
56,87,222
57,90,225
58,93,228
59,96,231
60,99,234
61,99,239
62,102,242
63,105,245
64,105,250
65,108,253
66,108,258
67,108,263
68,108,268
69,108,273
70,111,276
71,114,279
72,117,282
73,117,287
74,117,292
75,117,297
76,117,302
77,120,305
78,120,310
79,120,315
80,120,320
81,120,325
82,120,330
83,123,333
84,123,338
85,126,341
86,126,346
87,126,351
88,129,354
89,129,359
90,132,362
91,135,365
92,138,368
93,141,371
94,141,376
95,141,381
96,144,384
97,147,387
98,147,392
99,150,395
100,150,400
101,153,403
102,153,408
103,156,411
104,156,416
105,156,421
106,156,426
107,156,431
108,156,436
109,156,441
110,159,444
111,159,449
112,159,454
113,162,457
114,162,462
115,165,465
116,165,470
117,165,475
118,168,478
119,171,481
120,174,484
121,174,489
122,177,492
123,180,495
124,180,500
125,180,505
126,180,510
127,180,515
128,180,520
129,183,523
130,183,528
131,186,531
132,189,534
133,189,539
134,189,544
135,192,547
136,195,550
137,195,555
138,195,560
139,195,565
140,195,570
141,195,575
142,198,578
143,198,583
144,198,588
145,201,591
146,201,596
147,201,601
148,204,604
149,207,607
150,207,612
151,207,617
152,207,622
153,207,627
154,207,632
155,210,635
156,210,640
157,210,645
158,210,650
159,210,655
160,213,658
161,213,663
162,216,666
163,216,671
164,219,674
165,219,679
166,219,684
167,222,687
168,225,690
169,228,693
170,231,696
171,234,699
172,237,702
173,240,705
174,243,708
175,243,713
176,243,718
177,246,721
178,249,724
179,249,729
180,249,734
181,249,739
182,249,744
183,249,749
184,249,754
185,249,759
186,252,762
187,255,765
188,258,768
189,261,771
190,261,776
191,261,781
192,261,786
193,264,789
194,267,792
195,267,797
196,267,802
197,270,805
198,270,810
199,270,815
200,273,818
201,276,821
202,279,824
203,279,829
204,279,834
205,279,839
206,282,842
207,282,847
208,285,850
209,288,853
210,291,856
211,291,861
212,291,866
213,294,869
214,294,874
215,294,879
216,297,882
217,297,887
218,300,890
219,300,895
220,300,900
221,300,905
222,300,910
223,303,913
224,306,916
